rank,champion,games,KDA,WR,pick,ban,cs,gold
154,Kled,45,2.2,0.6,0.14,0.28,187.27,12085
155,Tryndamere,44,1.63,56.82,1.37,2.38,225.68,12506
156,Vel'Koz,36,3.23,55.56,1.12,0.31,180.92,12224
157,Annie,36,2.36,41.67,1.12,0.39,142.11,9688
158,Mordekaiser,35,2.15,51.43,1.09,1.01,182.2,10897
159,Yorick,35,1.42,0.4,1.09,0.33,186.57,10433
160,Fizz,31,2.36,58.06,0.97,0.64,157.87,10692
161,Heimerdinger,31,1.59,38.71,0.99,0.46,162.48,9726
162,Morgana,30,3.35,0.5,0.93,2.15,115.8,9349
163,Nilah,29,1.93,48.28,0.09,3.26,198.48,12181
164,Naafiri,28,2.28,0.5,0.87,0.22,165.75,10382
165,Quinn,28,1.91,46.43,0.87,0.47,149.89,10740
166,Amumu,24,2.77,54.17,0.75,0.92,96.42,8234
167,Illaoi,18,1.67,44.44,0.56,0.96,184.5,10795
168,Malzahar,17,2.25,52.94,0.53,0.09,192.24,10807
169,Shyvana,17,3.01,47.06,0.62,0.08,220.65,12955
